Action_1,GRX,-1.875,-0.625,-0.625,-4.875,1.125,-2.3125,2.25,-1.75,-0.5,-20.125,-15.8125,-11.125,-8.75,2.75,4.5625,4,5.1875,-5.5,4.5625,-9.375,2.8125,-6.0625,-3.5,3.8125,-2.625,0.6875,-1.5625,-4.9375,10.0625,4,9.625,11.875,6,9.25,-2.4375,2.0625,2.25,-5.3125,7.4375,-5.0625,0.9375,-8.625,-1.4375,5.5,-4.0625,0,0,0
Action_1,GRY,-1.875,-0.625,-0.625,-4.875,1.125,-2.3125,2.25,-1.75,-0.5,-20.125,-15.8125,-11.125,-8.75,2.75,4.5625,4,5.1875,-5.5,4.5625,-9.375,2.8125,-6.0625,-3.5,3.8125,-2.625,0.6875,-1.5625,-4.9375,10.0625,4,9.625,11.875,6,9.25,-2.4375,2.0625,2.25,-5.3125,7.4375,-5.0625,0.9375,-8.625,-1.4375,5.5,-4.0625,0,0,0
Action_1,GRZ,-1.875,-0.625,-0.625,-4.875,1.125,-2.3125,2.25,-1.75,-0.5,-20.125,-15.8125,-11.125,-8.75,2.75,4.5625,4,5.1875,-5.5,4.5625,-9.375,2.8125,-6.0625,-3.5,3.8125,-2.625,0.6875,-1.5625,-4.9375,10.0625,4,9.625,11.875,6,9.25,-2.4375,2.0625,2.25,-5.3125,7.4375,-5.0625,0.9375,-8.625,-1.4375,5.5,-4.0625,0,0,0
Action_1,ORL,6.660616,6.657051,6.656127,6.649342,6.644736,6.634877,6.616713,6.528345,6.410627,6.164193,6.075606,6.086128,6.165138,6.328978,6.694036,6.932715,7.50838,7.732354,7.885099,7.932018,7.921535,7.888626,7.882173,7.847826,7.670397,7.435767,7.103736,6.905741,6.708903,6.624253,6.450229,6.34694,6.21969,6.18233,6.141496,6.192225,6.250595,6.354885,6.665019,7.04227,7.199628,7.084844,6.880102,6.734036,6.633752,0,0,0
Action_1,OPL,2.998411,2.997943,2.998188,3.000149,3.000557,3.00329,3.008883,3.043795,3.124403,3.529573,4.209191,4.811142,5.409912,5.933814,6.441711,6.610725,6.823596,6.844703,6.837831,6.819726,6.801839,6.791064,6.792101,6.810966,6.806246,6.762032,6.63316,6.497207,6.301476,6.198468,5.949194,5.684353,5.356688,4.974321,4.454371,3.976163,3.63839,3.350662,3.031226,2.90535,2.870095,2.89117,2.9405,2.996954,3.059312,0,0,0
Action_1,OYL,3.775598,3.778234,3.778409,3.783818,3.787357,3.794207,3.810635,3.884899,3.960105,4.188451,4.306608,4.379193,4.476515,4.617811,4.92192,5.123733,5.65309,5.869718,6.023714,6.061975,6.04891,6.012149,5.995003,5.968605,5.802944,5.57656,5.255458,5.072575,4.895396,4.808187,4.662462,4.549467,4.458427,4.366775,4.305185,4.226618,4.145642,4.018552,3.600681,3.196865,2.973903,3.095342,3.293932,3.460506,3.590937,0,0,0
Action_1,ORR,3.149631,3.148389,3.145086,3.13747,3.135498,3.129673,3.135872,3.140314,3.153713,3.136836,3.10547,3.063736,3.063243,3.096337,3.142896,3.161479,3.148851,3.111914,3.089306,3.066381,3.043241,3.009692,3.008912,3.024105,3.048944,3.080984,3.115859,3.130459,3.15663,3.174353,3.163634,3.162543,3.184879,3.199562,3.199632,3.18659,3.168412,3.153679,3.125641,3.103248,3.090462,3.043401,3.019418,3.016788,3.029598,0,0,0
Action_1,OPR,2.930095,2.930717,2.931491,2.931327,2.929773,2.927851,2.92744,2.928847,2.929137,2.926017,2.917372,2.914379,2.919201,2.928696,2.942048,2.947922,2.945498,2.93315,2.928523,2.920793,2.918694,2.920456,2.923067,2.929262,2.932592,2.935288,2.932275,2.9305,2.928984,2.930273,2.931152,2.938126,2.952426,2.954867,2.950236,2.943532,2.941856,2.941373,2.940805,2.939826,2.93996,2.932849,2.931194,2.933195,2.93701,0,0,0
Action_1,OYR,6.123796,6.123409,6.125633,6.12993,6.131134,6.13065,6.128297,6.120932,6.125291,6.111003,6.118175,6.13859,6.117904,6.083009,6.037168,6.030202,6.048253,6.092892,6.115628,6.134703,6.157355,6.180664,6.177953,6.16132,6.136682,6.102848,6.070231,6.039478,6.025563,6.012402,6.035089,6.060646,6.050698,6.048844,6.055121,6.067433,6.092187,6.107771,6.135929,6.173407,6.182643,6.217709,6.239075,6.247046,6.23302,0,0,0
Action_2,ALX,0.9228516,0.9350586,0.9291992,0.9321289,0.9233398,0.9282227,0.9267578,1.014648,1.157227,1.041992,0.6557617,0.2924805,-0.06689453,-0.5029297,-0.5327148,-0.65625,-0.6826172,-0.6826172,-0.7177734,-0.9599609,-0.8745117,-0.8476563,-0.940918,-0.9243164,-0.8041992,-0.6411133,-0.6416016,-0.6538086,-0.6533203,-0.6958008,-0.6635742,-0.4887695,-0.03027344,0.2299805,0.534668,0.9296875,1.125488,1.154785,1.025879,0.9458008,0.9262695,0.9194336,0.9213867,0.9130859,0,0,0,0
Action_2,ALY,0.2719727,0.2700195,0.2651367,0.2817383,0.2666016,0.2807617,0.2539063,0.2841797,0.3276367,0.659668,0.6772461,0.7543945,0.6875,0.6245117,0.6401367,0.5698242,0.5146484,0.5146484,0.3261719,0.3583984,0.3286133,0.3461914,0.3393555,0.3862305,0.3378906,0.3359375,0.3920898,0.5161133,0.5664063,0.6865234,0.7231445,0.699707,0.6518555,0.9404297,0.6889648,0.5595703,0.4936523,0.2695313,0.2451172,0.2436523,0.2666016,0.2866211,0.296875,0.2836914,0,0,0,0
Action_2,ALZ,0.1591797,0.1689453,0.1533203,0.1582031,0.1611328,0.1577148,0.1723633,0.1474609,0.3911133,0.6142578,0.7817383,0.7695313,0.7348633,0.6518555,0.5849609,0.4614258,0.2763672,0.2763672,-0.08789063,-0.2197266,-0.1787109,-0.1186523,-0.190918,-0.1987305,-0.1474609,-0.07470703,0.0004882813,0.1166992,0.1699219,0.4462891,0.7026367,0.6147461,0.6464844,0.590332,0.559082,0.4008789,0.2358398,-0.06591797,-0.046875,0.1201172,0.1616211,0.1767578,0.1567383,0.1518555,0,0,0,0
Action_2,ARX,0.9619141,0.956543,0.9633789,0.9482422,0.9628906,0.9667969,0.9594727,0.9638672,0.9506836,0.934082,0.9609375,0.9658203,0.9628906,0.9624023,0.9614258,0.9213867,0.956543,0.9824219,0.9750977,0.9487305,0.9560547,0.9570313,0.9604492,0.9677734,0.953125,0.9316406,0.9384766,0.980957,0.9423828,0.9868164,0.9443359,0.953125,0.9267578,0.9658203,0.9418945,0.9907227,0.9760742,0.9624023,0.9282227,0.9501953,0.9785156,0.9707031,0.9492188,0.9624023,0,0,0,0
Action_2,ARY,-0.234375,-0.2421875,-0.234375,-0.2333984,-0.2416992,-0.2294922,-0.2431641,-0.2407227,-0.25,-0.2348633,-0.2548828,-0.2338867,-0.2451172,-0.2363281,-0.2363281,-0.2329102,-0.2431641,-0.2553711,-0.2597656,-0.2529297,-0.2841797,-0.2402344,-0.2792969,-0.2319336,-0.2470703,-0.2460938,-0.2250977,-0.2348633,-0.2456055,-0.2641602,-0.2583008,-0.2612305,-0.2485352,-0.2524414,-0.2368164,-0.2475586,-0.237793,-0.2607422,-0.2568359,-0.2329102,-0.2421875,-0.2431641,-0.2568359,-0.2084961,0,0,0,0
Action_2,ARZ,0.1049805,0.1054688,0.1035156,0.1108398,0.1152344,0.09423828,0.1098633,0.09423828,0.1049805,0.09570313,0.1049805,0.08203125,0.1083984,0.1074219,0.1088867,0.1157227,0.112793,0.1191406,0.1152344,0.1005859,0.1074219,0.09423828,0.1010742,0.07666016,0.1123047,0.1425781,0.1206055,0.1420898,0.1538086,0.1450195,0.09716797,0.112793,0.1235352,0.1220703,0.09716797,0.1171875,0.078125,0.09033203,0.1049805,0.08105469,0.07519531,0.05419922,0.09521484,0.07373047,0,0,0,0
Action_2,EMG0L,-4,1,-2,-1,4,-5,12,1,-9,-11,-27,38,48,-24,1,40,-36,-85,14,-40,-42,30,81,29,6,9,-15,-8,17,10,2,-13,-10,-5,13,5,-1,0,1,0,1,0,-1,-2,0,0,0,0
Action_2,EMG1L,-4,2,-5,-1,3,2,-4,0,8,-8,-5,16,-4,5,-10,1,6,15,26,-31,12,4,25,6,7,4,-13,-4,-2,-3,-2,-9,-8,5,3,2,-1,-2,0,-1,-1,-1,-1,-3,0,0,0,0
Action_2,EMG2L,-2,-2,-3,-1,1,0,3,-4,-3,0,20,53,0,3,-1,-5,0,-2,18,-13,6,6,6,-11,11,-8,-8,0,0,-1,-3,-6,-1,9,-6,5,-1,0,-1,0,1,0,-1,-2,0,0,0,0
Action_2,EMG3L,-2,0,-2,-2,-1,1,3,-28,28,60,35,37,17,-18,-1,15,-8,28,33,1,42,19,1,6,-2,-5,-6,4,2,-8,4,-15,-8,7,12,14,-13,-5,-6,-2,0,1,-1,-1,0,0,0,0
Action_2,EMG4L,-2,0,-1,0,0,0,2,-2,3,-1,-2,3,0,10,17,-6,-15,-34,42,-31,1,-24,-9,6,5,-2,0,-3,0,1,0,-5,-3,-3,1,-1,-1,0,-2,-1,-3,2,-1,-1,0,0,0,0
Action_2,EMG5L,0,-2,0,0,1,-1,-1,-3,55,8,-4,-22,2,2,-24,-22,-6,-90,8,-35,-12,25,59,6,42,13,0,20,-6,-4,-2,-4,-1,-3,5,3,1,1,0,-1,-1,1,-2,-1,0,0,0,0
Action_2,EMG6L,2,-2,0,-2,-1,-2,-2,0,0,-2,27,-3,23,1,5,11,10,14,-4,-47,-16,27,4,-8,0,-14,11,4,-7,1,-3,1,0,-4,0,0,-2,-1,-1,0,0,-1,-1,-1,0,0,0,0
Action_2,EMG7L,-2,-1,-3,1,2,-1,6,1,2,1,2,6,-6,-12,20,-11,40,-26,1,-13,-7,3,-10,0,26,-41,15,10,-24,10,8,2,1,-6,-1,-2,-2,-1,-1,0,-1,-2,1,-1,0,0,0,0
Action_2,EMG0R,-1,-2,1,0,-1,0,-1,-1,-2,-2,0,-1,-1,-1,-2,0,0,-2,1,-2,-2,-2,1,-1,-1,0,-2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,0,-3,0,-2,0,0,0,0
Action_2,EMG1R,-1,0,-3,-1,-1,-3,-3,-1,-2,0,-2,-1,-1,0,0,-1,-4,-2,-1,-3,-2,-1,-2,-1,0,-1,-1,-3,-2,-2,-1,0,0,-1,-2,0,0,0,0,-1,-1,-3,0,0,0,0,0,0
Action_2,EMG2R,-1,-1,-2,-1,-1,-35,-12,0,-2,-2,-2,-2,-1,6,7,0,-4,-38,-10,2,-7,7,1,11,-6,-3,-1,-41,-10,1,-1,0,0,2,-7,15,2,-2,-1,1,0,-1,-7,5,0,0,0,0
Action_2,EMG3R,-1,-1,-1,-1,-1,-3,-1,-1,-1,-1,-1,0,-2,-1,-1,-1,0,-4,-2,-2,-1,0,-2,3,-2,-1,-3,-5,-2,-1,1,1,0,-2,-1,-1,-2,1,-2,-1,-1,-1,-2,-1,0,0,0,0
Action_2,EMG4R,-2,0,-3,-8,-4,-8,1,-3,-2,-3,1,2,-4,-2,-1,-3,-1,-3,1,-6,-5,-5,-3,12,-4,-1,1,-2,0,6,1,14,-8,-5,0,1,0,8,-3,-2,-2,1,-2,-2,0,0,0,0
Action_2,EMG5R,-2,-2,-1,-4,-1,-1,-1,-1,-1,-2,0,-2,-2,-2,0,-2,-2,-1,0,-2,-2,-1,-1,-1,-2,-3,1,-5,1,-1,1,5,-5,-3,-3,-3,2,-3,0,0,-2,-1,0,0,0,0,0,0
Action_2,EMG6R,-3,-1,0,0,0,1,-1,-1,0,-1,-1,0,0,0,-1,-2,-2,-1,-3,-2,-1,-3,0,-1,-2,-1,-3,-2,0,-2,0,-2,-3,-1,0,-2,0,1,1,-2,-1,-2,-2,-2,0,0,0,0
Action_2,EMG7R,-2,-2,-1,0,-3,0,-1,-1,-2,-1,-1,0,-2,-1,-1,0,0,0,-1,-2,0,-1,0,0,-1,-1,-1,-1,-1,-2,-1,-3,-3,0,0,0,-2,0,0,-1,-2,-1,0,-1,0,0,0,0
Action_2,GLX,-0.5,0.5625,1.5625,1.125,-1.25,0.1875,-0.5,-10.3125,-49.4375,16.625,21.375,18.625,26,63.0625,64.0625,59.1875,49.5625,49.5625,22.5,9.375,11.9375,-1.875,8.5625,1.3125,-14.5,-23.1875,-26.625,-36.3125,-51.8125,-76.125,-75.375,-36,-29,7.25,31.875,-56.5625,29.75,-55.9375,-25.5,-8.25,-13.9375,0.8125,12.875,16.375,0,0,0,0
Action_2,GLY,-0.5,0.5625,1.5625,1.125,-1.25,0.1875,-0.5,-10.3125,-49.4375,16.625,21.375,18.625,26,63.0625,64.0625,59.1875,49.5625,49.5625,22.5,9.375,11.9375,-1.875,8.5625,1.3125,-14.5,-23.1875,-26.625,-36.3125,-51.8125,-76.125,-75.375,-36,-29,7.25,31.875,-56.5625,29.75,-55.9375,-25.5,-8.25,-13.9375,0.8125,12.875,16.375,0,0,0,0
Action_2,GLZ,-0.5,0.5625,1.5625,1.125,-1.25,0.1875,-0.5,-10.3125,-49.4375,16.625,21.375,18.625,26,63.0625,64.0625,59.1875,49.5625,49.5625,22.5,9.375,11.9375,-1.875,8.5625,1.3125,-14.5,-23.1875,-26.625,-36.3125,-51.8125,-76.125,-75.375,-36,-29,7.25,31.875,-56.5625,29.75,-55.9375,-25.5,-8.25,-13.9375,0.8125,12.875,16.375,0,0,0,0
Action_2,GRX,2.3125,0.25,1.4375,-0.25,-2.875,-1.375,0.875,2.8125,-9.0625,-14.6875,-13.5625,-1.9375,-4.625,1.9375,-0.8125,7.6875,4.1875,8.25,-10.5625,2.0625,-9.25,-3.3125,-8.375,0.1875,-0.625,-0.4375,10.6875,18.75,-1.125,-0.75,9.4375,-3.625,4.625,0.1875,7.4375,0.8125,5,6.125,-12.6875,-0.6875,-19.9375,2.25,-4.6875,8.875,0,0,0,0
Action_2,GRY,2.3125,0.25,1.4375,-0.25,-2.875,-1.375,0.875,2.8125,-9.0625,-14.6875,-13.5625,-1.9375,-4.625,1.9375,-0.8125,7.6875,4.1875,8.25,-10.5625,2.0625,-9.25,-3.3125,-8.375,0.1875,-0.625,-0.4375,10.6875,18.75,-1.125,-0.75,9.4375,-3.625,4.625,0.1875,7.4375,0.8125,5,6.125,-12.6875,-0.6875,-19.9375,2.25,-4.6875,8.875,0,0,0,0
Action_2,GRZ,2.3125,0.25,1.4375,-0.25,-2.875,-1.375,0.875,2.8125,-9.0625,-14.6875,-13.5625,-1.9375,-4.625,1.9375,-0.8125,7.6875,4.1875,8.25,-10.5625,2.0625,-9.25,-3.3125,-8.375,0.1875,-0.625,-0.4375,10.6875,18.75,-1.125,-0.75,9.4375,-3.625,4.625,0.1875,7.4375,0.8125,5,6.125,-12.6875,-0.6875,-19.9375,2.25,-4.6875,8.875,0,0,0,0
Action_2,ORL,6.675298,6.665365,6.652238,6.643773,6.634639,6.634364,6.62677,6.601049,6.416721,6.266264,6.135739,6.145999,6.17267,6.377717,6.447087,6.726052,7.122657,7.122657,8.026752,8.116718,8.144216,8.1338,8.144969,8.178307,8.172384,8.046102,7.801088,7.350391,7.000401,6.71362,6.410059,6.250745,6.176544,6.236673,6.320647,6.362576,6.752268,7.284979,7.774371,7.660193,7.194779,6.989533,6.724124,6.611057,0,0,0,0
Action_2,OPL,3.022314,3.023144,3.024812,3.027834,3.030829,3.034028,3.03666,3.051335,3.149335,3.3938,3.939216,4.455753,5.017408,5.909934,6.061706,6.439796,6.695356,6.695356,6.857138,6.85327,6.840209,6.826645,6.812817,6.821215,6.812606,6.804578,6.76261,6.620326,6.444821,6.183113,5.707274,5.276593,4.665567,4.231356,3.703324,3.442218,3.033293,2.868345,2.822995,2.830612,2.88197,2.920388,3.000694,3.050276,0,0,0,0
Action_2,OYL,3.508607,3.518548,3.534061,3.547283,3.553818,3.555117,3.558808,3.581458,3.705772,3.893798,4.066448,4.143737,4.226302,4.425784,4.484919,4.737364,5.105417,5.105417,6.018722,6.095579,6.107287,6.071868,6.064114,6.090376,6.097542,5.999057,5.78257,5.371377,5.067226,4.80652,4.545471,4.376013,4.213738,4.118871,3.993082,3.906583,3.481717,2.868739,2.299376,2.388151,2.827775,3.034858,3.331936,3.479465,0,0,0,0
Action_2,ORR,3.103589,3.10397,3.105565,3.10284,3.096837,3.097508,3.106936,3.118251,3.117346,3.096445,3.077812,3.081333,3.091569,3.097386,3.093132,3.081507,3.063406,3.057589,3.049732,3.054895,3.049492,3.055182,3.039567,3.049749,3.076476,3.103459,3.129239,3.201364,3.267403,3.308719,3.291338,3.251111,3.211803,3.137467,3.076106,3.01105,2.942765,2.915352,2.891508,2.888676,2.883404,2.913795,2.973373,3.026613,0,0,0,0
Action_2,OPR,2.919251,2.921149,2.924311,2.926552,2.925612,2.924541,2.922719,2.921139,2.919523,2.912723,2.914104,2.921924,2.929649,2.936055,2.941113,2.945086,2.945695,2.942887,2.929558,2.924258,2.926453,2.930026,2.935453,2.943507,2.961121,2.971289,2.977126,2.979836,2.973385,2.960506,2.952818,2.948189,2.946308,2.937965,2.930256,2.924389,2.920113,2.917927,2.914644,2.912833,2.911703,2.912637,2.916634,2.919103,0,0,0,0
Action_2,OYR,6.098998,6.098585,6.099365,6.103682,6.104872,6.104303,6.089464,6.084674,6.077888,6.069195,6.062636,6.051292,6.032779,6.026224,6.034049,6.052288,6.082963,6.099567,6.102735,6.09251,6.085853,6.075321,6.073508,6.064748,6.029442,6.00236,5.990397,5.94814,5.89073,5.851337,5.877909,5.918291,5.963154,6.041471,6.115864,6.187699,6.280472,6.313879,6.331038,6.327401,6.311627,6.267858,6.190181,6.150661,0,0,0,0
Action_3,ALX,0.9233398,0.9257813,0.9238281,0.9345703,0.9306641,0.9326172,0.9355469,1.04834,1.129395,1.086914,0.6464844,0.2163086,-0.1772461,-0.4584961,-0.5913086,-0.6005859,-0.609375,-0.6860352,-0.6577148,-0.78125,-0.777832,-0.9248047,-0.9208984,-0.9082031,-0.9082031,-0.8950195,-0.7895508,-0.7456055,-0.7729492,-0.7050781,-0.730957,-0.5473633,-0.5444336,-0.5522461,-0.0625,0.2729492,0.4697266,0.7700195,1.27832,1.219238,1.083496,0.9379883,0.871582,0.9228516,0,0,0,0
